url,price_per_month,m2,price_m2,bedrooms,bathrooms,encoded_neighborhood
https://www.habitaclia.com/alquiler-piso-con_4_habitaciones_con_ascensor_y_calefaccion_sant_gervasi_galvany-barcelona-i45420000000063.htm?pag=7&f=&geo=p&from=list&lo=55,4200,214,19.63,4,4,49
https://www.habitaclia.com/alquiler-piso-bonito_en_el_born_al_lado_del_museo_picasso_disponible_a_pa_st_pere_sta_caterina_el_born-barcelona-i45569000000004.htm?pag=7&f=&geo=p&from=list&lo=55,1800,102,17.65,3,1,46
https://www.habitaclia.com/alquiler-atico-espectacular_en_tres_torres_tres_torres-barcelona-i45133000000077.htm?pag=7&f=&geo=p&from=list&lo=55,3290,239,13.77,5,2,43
https://www.habitaclia.com/alquiler-piso-de_3_habitaciones_recien_reformado_avenida_de_madrid_110_sants_badal-barcelona-i48171000000003.htm?pag=7&f=&geo=p&from=list&lo=55,2203,65,33.89,3,1,18
https://www.habitaclia.com/alquiler-piso-luminoso_con_piscina_paseo_de_gracia_de_pau_claris_99_dreta_de_l_eixample-barcelona-i41111000000004.htm?pag=7&f=&geo=p&from=list&lo=55,2700,90,30.0,3,2,48
https://www.habitaclia.com/alquiler-piso-calle_de_rocafort_69_sant_antoni-barcelona-i29047000000185.htm?pag=7&f=&geo=p&from=list&lo=55,1450,70,20.71,2,2,33
https://www.habitaclia.com/alquiler-piso-centrico_y_luminoso_eix_dret_dreta_de_l_eixample-barcelona-i3391004492702.htm?pag=8&f=&geo=p&from=list&lo=55,1550,75,20.67,3,1,48
https://www.habitaclia.com/alquiler-piso-con_3_habitaciones_amueblado_con_ascensor_cami_de_la_verneda_14_la_verneda_la_pau-barcelona-i42277000000025.htm?pag=8&f=&geo=p&from=list&lo=55,1830,74,24.73,3,2,27
https://www.habitaclia.com/alquiler-piso-bonito_recien_reformado_horta-barcelona-i5484004381484.htm?pag=8&f=&geo=p&from=list&lo=55,1150,72,15.97,3,1,7
https://www.habitaclia.com/alquiler-casa-reformada_con_jardin_junto_a_avenida_tibidabo_sant_gervasi_bonanova-barcelona-i14453004331825.htm?pag=8&f=&geo=p&from=list&lo=55,15000,640,23.44,7,4,50
https://www.habitaclia.com/alquiler-piso-calle_de_guillem_tell_24_putget_farro-barcelona-i42978000000040.htm?pag=8&f=&geo=p&from=list&lo=55,1800,134,13.43,4,2,26
https://www.habitaclia.com/alquiler-atico-magnifico_junto_a_plaza_molina_sant_gervasi_galvany-barcelona-i3452003884168.htm?pag=8&f=&geo=p&from=list&lo=55,2200,150,14.67,5,2,49
https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_amueblado_con_ascensor_y_calefaccion_gotic-barcelona-i40940000000064.htm?pag=8&f=&geo=p&from=list&lo=55,1600,80,20.0,2,1,42
https://www.habitaclia.com/alquiler-piso-senorial_y_elegante_vivienda_sin_muebles_junto_a_rambla_de_catal_dreta_de_l_eixample-barcelona-i14453004331795.htm?pag=8&f=&geo=p&from=list&lo=55,4400,220,20.0,3,3,48
https://www.habitaclia.com/alquiler-piso-fantastico_reformado_en_calle_comtal_gotic-barcelona-i25477003570148.htm?pag=8&f=&geo=p&from=list&lo=55,2000,152,13.16,3,2,42
https://www.habitaclia.com/alquiler-piso-calle_de_ferran_25_gotic-barcelona-i12717000000173.htm?pag=8&f=&geo=p&from=list&lo=55,1250,65,19.23,1,1,42
https://www.habitaclia.com/alquiler-piso-luminoso_con_piscina_paseo_de_gracia_de_pau_claris_99_dreta_de_l_eixample-barcelona-i41111000000003.htm?pag=8&f=&geo=p&from=list&lo=55,2300,75,30.67,2,1,48
https://www.habitaclia.com/alquiler-atico-con_terraza_de_25_m2_en_rambla_guipuscoa_junto_parque_de_c_el_clot-barcelona-i45207000000043.htm?pag=8&f=&geo=p&from=list&lo=55,1200,65,18.46,2,1,9
https://www.habitaclia.com/alquiler-piso-espectacular_amueblado_con_piscina_cubierta_y_spa_en_diagon_vila_de_gracia-barcelona-i21572004122257.htm?pag=8&f=&geo=p&from=list&lo=55,4900,98,50.0,2,2,44
https://www.habitaclia.com/alquiler-piso-amueblado_listo_para_estrenar_dreta_de_l_eixample-barcelona-i2505004332487.htm?pag=8&f=&geo=p&from=list&lo=55,3200,101,31.68,3,2,48
https://www.habitaclia.com/alquiler-casa-con_4_habitaciones_con_calefaccion_aire_acondicionado_y_vi_d39olerdola_2_vallcarca_penitents-barcelona-i10772004294892.htm?pag=8&f=&geo=p&from=list&lo=55,2600,228,11.4,4,2,25
