url,title,city,neighborhood,price_per_month,m2,price_m2,bedrooms,bathrooms,year_of_construction,air_conditioner
https://www.habitaclia.com/alquiler-piso-suelos_hidraulicos_y_techos_altos_en_el_mercat_de_sant_antoni_sant_antoni-barcelona-i5020004000300.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler piso suelos hidráulicos y techos altos en el mercat de Sant Antoni en Barcelona,Barcelona,Sant Antoni,1950,104,18.75,4,2,-1,False
https://www.habitaclia.com/alquiler-piso-precioso_en_en_sant_pere_santa_caterina_la_ribera_st_pere_sta_caterina_el_born-barcelona-i14760003330308.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler piso precioso piso en alquiler en sant pere-santa caterina-la ribera en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1120,53,21.13,1,1,2009,False
https://www.habitaclia.com/alquiler-atico-barri_de_les_corts-barcelona-i30853000000488.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler ático en Barri de les Corts Barcelona,Barcelona,Barri de les Corts,2400,147,16.33,2,1,2011,True
https://www.habitaclia.com/alquiler-piso-sant_ramon_maternitat-barcelona-i17052000000147.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler piso en Sant Ramon - Maternitat Barcelona,Barcelona,Sant Ramon - Maternitat,1300,65,20,1,1,-1,True
https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_amueblado_con_ascensor_parking_calefac_diagonal_mar_i_el_front_maritim_del_poblen-barcelona-i3050004446443.htm?pag=4&f=&geo=p&from=list&lo=55,"Alquiler piso  con 2 habitaciones amueblado con ascensor, parking, calefacción, aire acondicionado y vistas al mar en Barcelona",Barcelona,Diagonal Mar i el Front Marítim del Poblenou,2200,69,31.88,2,1,2015,True
https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_amueblado_con_ascensor_calefaccion_y_ai_dreta_de_l_eixample-barcelona-i4630004472797.htm?pag=4&f=&geo=p&from=list&lo=55,"Alquiler piso  con 2 habitaciones amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Dreta de l´Eixample,2000,66,30.3,2,2,1926,True
https://www.habitaclia.com/alquiler-piso-junto_sarria_multicines_tres_torres-barcelona-i3050004446460.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler piso junto sarria multicines en Tres Torres Barcelona,Barcelona,Tres Torres,2900,198,14.65,4,2,2001,True
https://www.habitaclia.com/alquiler-piso-de_150_m2_en_c_nau_santa_maria_av_diagonal_barri_de_les_corts-barcelona-i39012000001466.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler piso  de 150 m2 en c. nau santa maria - av. diagonal en Barcelona,Barcelona,Barri de les Corts,2550,150,17,3,3,1988,True
https://www.habitaclia.com/alquiler-piso-vivienda_con_balcon_patio_y_parking_horta-barcelona-i3118004333050.htm?pag=5&f=&geo=p&from=list&lo=55,"Alquiler piso vivienda con balcón, patio y parking. en Barcelona",Barcelona,Horta,1300,79,16.46,2,1,1998,True
https://www.habitaclia.com/alquiler-piso-gotic-barcelona-i37282004165740.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler piso en Gòtic Barcelona,Barcelona,Gòtic,1500,84,17.86,2,1,-1,True
https://www.habitaclia.com/alquiler-piso-calle_de_bertran_41_putget_farro-barcelona-i5714000000654.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler piso en carrer de bertran 41 en Putget - Farró Barcelona,Barcelona,Putget - Farró,1400,60,23.33,1,1,-1,True
https://www.habitaclia.com/alquiler-estudio-en_en_el_raval_3_habitaciones_1_bano_raval-barcelona-i14760003330342.htm?pag=5&f=&geo=p&from=list&lo=55,"Alquiler estudio  en alquiler en el Raval, 3 habitaciones, 1 baño. en Barcelona",Barcelona,Raval,1400,120,11.67,3,1,1900,False
https://www.habitaclia.com/alquiler-piso-con_4_habitaciones_con_ascensor_calle_de_craywinckel_27_putget_farro-barcelona-i2907000000339.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler piso en carrer de craywinckel 27 piso con 4 habitaciones con ascensor en Barcelona,Barcelona,Putget - Farró,1650,106,15.57,4,2,1970,False
https://www.habitaclia.com/alquiler-apartamento-con_2_habitaciones_amueblado_con_ascensor_y_aire_aco_barceloneta-barcelona-i30785000001946.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler apartamento  con 2 habitaciones amueblado con ascensor y aire acondicionado en Barcelona,Barcelona,Barceloneta,2700,85,31.76,2,2,-1,True
